report_employee_id,manager_employee_id
emp_000419,emp_000414
emp_000420,emp_000421
emp_000421,emp_000304
emp_000422,emp_000421
emp_000423,emp_000421
emp_000424,emp_000421
emp_000425,emp_000421
emp_000426,emp_000421
emp_000427,emp_000434
emp_000428,emp_000434
emp_000429,emp_000434
emp_000430,emp_000434
emp_000431,emp_000434
emp_000432,emp_000434
emp_000433,emp_000434
emp_000434,emp_000421
emp_000435,emp_000437
emp_000436,emp_000437
emp_000437,emp_000421
emp_000438,emp_000437
emp_000439,emp_000437
emp_000440,emp_000443
emp_000441,emp_000443
emp_000442,emp_000443
emp_000443,emp_000448
emp_000444,emp_000443
emp_000445,emp_000443
emp_000446,emp_000448
emp_000447,emp_000448
emp_000448,emp_000304
emp_000449,emp_000448
emp_000450,emp_000448
emp_000451,emp_000448
emp_000452,emp_000453
emp_000453,emp_000448
emp_000454,emp_000453
emp_000455,emp_000457
emp_000456,emp_000457
emp_000457,emp_000448
emp_000458,emp_000457
emp_000459,emp_000461
emp_000460,emp_000461
emp_000461,emp_000448
emp_000462,emp_000461
emp_000463,emp_000466
emp_000464,emp_000466
emp_000465,emp_000466
emp_000466,emp_000448
emp_000467,emp_000471
emp_000468,emp_000471
emp_000469,emp_000471
emp_000470,emp_000471
emp_000471,emp_000499
emp_000472,emp_000471
emp_000473,emp_000471
emp_000474,emp_000475
emp_000475,emp_000499
emp_000476,emp_000475
emp_000477,emp_000475
emp_000478,emp_000475
emp_000479,emp_000499
emp_000480,emp_000479
emp_000481,emp_000479
emp_000482,emp_000479
emp_000483,emp_000479
emp_000484,emp_000479
emp_000485,emp_000499
emp_000486,emp_000485
emp_000487,emp_000485
emp_000488,emp_000485
emp_000489,emp_000485
emp_000490,emp_000485
emp_000491,emp_000485
emp_000492,emp_000485
emp_000493,emp_000485
emp_000494,emp_000499
emp_000495,emp_000499
emp_000496,emp_000499
emp_000497,emp_000499
emp_000498,emp_000499
emp_000499,emp_000304
